N,P,K,ph,crop,crop_binary
90,42,43,7,rice,1
85,58,41,7,rice,1
60,55,44,8,rice,1
74,35,40,7,rice,1
78,42,42,8,rice,1
69,37,42,7,rice,1
69,55,38,6,rice,1
94,53,40,6,rice,1
89,54,38,7,rice,1
68,58,38,6,rice,1
91,53,40,5,rice,1
90,46,42,8,rice,1
78,58,44,5,rice,1
93,56,36,7,rice,1
94,50,37,7,rice,1
60,48,39,7,rice,1
85,38,41,6,rice,1
91,35,39,7,rice,1
77,38,36,6,rice,1
88,35,40,6,rice,1
89,45,36,6,rice,1
76,40,43,5,rice,1
67,59,41,6,rice,1
83,41,43,6,rice,1
98,47,37,7,rice,1
66,53,41,8,rice,1
97,59,43,6,rice,1
97,50,41,7,rice,1
60,49,44,6,rice,1
84,51,35,6,rice,1
73,57,41,6,rice,1
92,35,40,6,rice,1
85,37,39,6,rice,1
98,53,38,5,rice,1
88,54,44,6,rice,1
95,55,42,6,rice,1
99,57,35,6,rice,1
95,39,36,6,rice,1
60,43,44,7,rice,1
63,44,41,6,rice,1
62,42,36,6,rice,1
64,45,43,6,rice,1
83,60,36,7,rice,1
82,40,40,6,rice,1
85,52,45,7,rice,1
91,35,38,6,rice,1
76,49,42,5,rice,1
74,39,38,8,rice,1
79,43,39,7,rice,1
88,55,45,8,rice,1
60,36,43,5,rice,1
76,60,39,7,rice,1
93,56,42,7,rice,1
65,60,43,6,rice,1
95,52,36,6,rice,1
75,38,39,6,rice,1
74,54,38,7,rice,1
91,36,45,6,rice,1
71,46,40,7,rice,1
99,55,35,7,rice,1
72,40,38,8,rice,1
83,58,45,6,rice,1
93,58,38,7,rice,1
70,36,42,7,rice,1
76,47,42,6,rice,1
99,41,36,7,rice,1
99,54,37,6,rice,1
86,59,35,7,rice,1
69,46,41,5,rice,1
91,56,37,6,rice,1
61,52,41,7,rice,1
67,45,38,7,rice,1
79,42,37,7,rice,1
78,43,42,7,rice,1
75,54,36,7,rice,1
97,36,45,7,rice,1
67,47,44,8,rice,1
73,35,38,5,rice,1
77,36,37,6,rice,1
81,41,38,8,rice,1
68,57,43,6,rice,1
72,45,35,6,rice,1
61,53,43,6,rice,1
67,43,39,6,rice,1
67,58,39,5,rice,1
66,60,38,6,rice,1
82,43,38,5,rice,1
84,50,44,6,rice,1
81,53,42,5,rice,1
91,50,40,6,rice,1
93,53,38,7,rice,1
90,44,38,7,rice,1
81,45,35,6,rice,1
78,40,38,8,rice,1
60,51,36,6,rice,1
88,46,42,7,rice,1
93,47,37,7,rice,1
60,55,45,6,rice,1
78,35,44,7,rice,1
65,37,40,5,rice,1
71,54,16,6,maize,0
61,44,17,7,maize,0
80,43,16,7,maize,0
73,58,21,7,maize,0
61,38,20,6,maize,0
