N,P,K,ph,crop
90,42,43,7,rice
85,58,41,7,rice
60,55,44,8,rice
74,35,40,7,rice
78,42,42,8,rice
69,37,42,7,rice
69,55,38,6,rice
94,53,40,6,rice
89,54,38,7,rice
68,58,38,6,rice
91,53,40,5,rice
90,46,42,8,rice
78,58,44,5,rice
93,56,36,7,rice
94,50,37,7,rice
60,48,39,7,rice
85,38,41,6,rice
91,35,39,7,rice
77,38,36,6,rice
88,35,40,6,rice
89,45,36,6,rice
76,40,43,5,rice
67,59,41,6,rice
83,41,43,6,rice
98,47,37,7,rice
66,53,41,8,rice
97,59,43,6,rice
97,50,41,7,rice
60,49,44,6,rice
84,51,35,6,rice
73,57,41,6,rice
92,35,40,6,rice
85,37,39,6,rice
98,53,38,5,rice
88,54,44,6,rice
95,55,42,6,rice
99,57,35,6,rice
95,39,36,6,rice
60,43,44,7,rice
63,44,41,6,rice
62,42,36,6,rice
64,45,43,6,rice
83,60,36,7,rice
82,40,40,6,rice
85,52,45,7,rice
91,35,38,6,rice
76,49,42,5,rice
74,39,38,8,rice
79,43,39,7,rice
88,55,45,8,rice
60,36,43,5,rice
76,60,39,7,rice
93,56,42,7,rice
65,60,43,6,rice
95,52,36,6,rice
75,38,39,6,rice
74,54,38,7,rice
91,36,45,6,rice
71,46,40,7,rice
99,55,35,7,rice
72,40,38,8,rice
83,58,45,6,rice
93,58,38,7,rice
70,36,42,7,rice
76,47,42,6,rice
99,41,36,7,rice
99,54,37,6,rice
86,59,35,7,rice
69,46,41,5,rice
91,56,37,6,rice
61,52,41,7,rice
67,45,38,7,rice
79,42,37,7,rice
78,43,42,7,rice
75,54,36,7,rice
97,36,45,7,rice
67,47,44,8,rice
73,35,38,5,rice
77,36,37,6,rice
81,41,38,8,rice
68,57,43,6,rice
72,45,35,6,rice
61,53,43,6,rice
67,43,39,6,rice
67,58,39,5,rice
66,60,38,6,rice
82,43,38,5,rice
84,50,44,6,rice
81,53,42,5,rice
91,50,40,6,rice
93,53,38,7,rice
90,44,38,7,rice
81,45,35,6,rice
78,40,38,8,rice
60,51,36,6,rice
88,46,42,7,rice
93,47,37,7,rice
60,55,45,6,rice
78,35,44,7,rice
65,37,40,5,rice
71,54,16,6,maize
61,44,17,7,maize
80,43,16,7,maize
73,58,21,7,maize
61,38,20,6,maize
68,41,16,6,maize
93,41,17,6,maize
89,60,19,6,maize
76,44,17,6,maize
67,60,25,6,maize
70,44,19,6,maize
90,49,21,6,maize
62,52,16,7,maize
92,44,16,6,maize
66,54,21,6,maize
63,58,22,6,maize
70,47,17,7,maize
61,41,17,6,maize
66,53,19,6,maize
74,55,19,6,maize
77,57,21,7,maize
99,50,15,6,maize
74,56,22,7,maize
83,45,21,6,maize
100,48,16,6,maize
79,51,16,7,maize
94,39,18,6,maize
75,49,15,6,maize
78,48,22,6,maize
87,54,20,7,maize
87,35,25,6,maize
63,43,19,7,maize
84,57,25,6,maize
64,35,23,6,maize
60,46,22,7,maize
98,44,21,7,maize
75,56,18,6,maize
86,55,21,7,maize
98,35,18,6,maize
76,57,18,6,maize
99,56,17,6,maize
60,44,23,6,maize
74,48,17,6,maize
